BORO_NM,FELONY,MISDEMEANOR,VIOLATION
BRONX,0.283344578313,0.575363855422,0.141291566265
BROOKLYN,0.323196784934,0.530485814394,0.146317400672
MANHATTAN,0.30906224816,0.573614714973,0.117323036867
QUEENS,0.333557017924,0.520348082085,0.146094899991
STATEN ISLAND,0.236270932735,0.561418280475,0.20231078679
